Month,Approved Lien Waivers
2013-01-01,22
2013-02-01,0
2013-03-01,0
2013-04-01,14
2013-05-01,12
2013-06-01,11
2013-07-01,0
2013-08-01,18
2013-09-01,6
2013-10-01,23
2013-11-01,0
2013-12-01,0
2014-01-01,0
2014-02-01,0
2014-03-01,44
2014-04-01,0
2014-05-01,21
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,14
2014-11-01,29
2014-12-01,8
2015-01-01,0
2015-02-01,15
2015-03-01,10
2015-04-01,12
2015-05-01,0
2015-06-01,16
2015-07-01,8
2015-08-01,0
2015-09-01,5
2015-10-01,5
2015-11-01,21
2015-12-01,14
2016-01-01,9
